iter	Passed	Remaining
0	2	247
1	4	209
2	6	224
3	8	212
4	10	207
5	13	203
6	15	208
7	17	206
8	19	200
9	21	193
10	23	188
11	25	185
12	27	182
13	29	180
14	31	177
15	33	173
16	35	171
17	36	167
18	38	163
19	39	157
20	40	152
21	41	147
22	44	149
23	46	148
24	48	144
25	49	141
26	50	137
27	52	133
28	53	130
29	54	126
30	55	123
31	56	119
32	57	117
33	58	113
34	59	110
35	60	107
36	61	104
37	62	101
38	63	98
39	63	95
40	64	92
41	64	89
42	65	87
43	66	84
44	67	82
45	68	80
46	69	78
47	70	76
48	71	74
49	72	72
50	89	85
51	90	83
52	91	80
53	91	78
54	92	75
55	93	73
56	94	71
57	94	68
58	95	66
59	96	64
60	97	62
61	98	60
62	98	57
63	99	55
64	100	53
65	101	52
66	101	50
67	102	48
68	103	46
69	105	45
70	105	43
71	106	41
72	107	39
73	108	38
74	109	36
75	110	34
76	110	33
77	111	31
78	112	29
79	112	28
80	113	26
81	114	25
82	114	23
83	115	21
84	116	20
85	116	19
86	117	17
87	118	16
88	118	14
89	119	13
90	120	11
91	121	10
92	121	9
93	122	7
94	123	6
95	123	5
96	124	3
97	125	2
98	125	1
99	126	0
